fold_id,eog_channel,eeg_channel_index,coefficient
loso_s1,EOG1,0,0.05830486212490973
loso_s1,EOG1,1,0.4015057361624651
loso_s1,EOG1,2,0.196601116064357
loso_s1,EOG1,3,0.06630323592282776
loso_s1,EOG1,4,-0.023154633841505907
loso_s1,EOG1,5,-0.06118432946363816
loso_s1,EOG1,6,0.6316472049573679
loso_s1,EOG1,7,0.4221757924941206
loso_s1,EOG1,8,0.21381443206687
loso_s1,EOG1,9,0.08616189328499198
loso_s1,EOG1,10,0.005187476022192335
loso_s1,EOG1,11,-0.03140274757483314
loso_s1,EOG1,12,-0.009841070880662476
loso_s1,EOG1,13,0.3539348701457317
loso_s1,EOG1,14,0.20042742532199814
loso_s1,EOG1,15,0.10745653995610391
loso_s1,EOG1,16,0.042045277785439324
loso_s1,EOG1,17,0.006761241751779635
loso_s1,EOG1,18,0.18334645530338034
loso_s1,EOG1,19,0.11531353021890357
loso_s1,EOG1,20,0.07543802395405791
loso_s1,EOG1,21,0.11814163035418279
loso_s1,EOG2,0,0.9227409968758452
loso_s1,EOG2,1,0.6217948328515661
loso_s1,EOG2,2,0.7866929874754933
loso_s1,EOG2,3,0.8572279483551093
loso_s1,EOG2,4,0.7681722824815744
loso_s1,EOG2,5,0.6081449361320908
loso_s1,EOG2,6,0.17532913119359345
loso_s1,EOG2,7,0.419785475327922
loso_s1,EOG2,8,0.61094953301035
loso_s1,EOG2,9,0.6849097192773681
loso_s1,EOG2,10,0.5606242202249739
loso_s1,EOG2,11,0.3128616396738686
loso_s1,EOG2,12,0.07379675291409592
loso_s1,EOG2,13,0.254994247973789
loso_s1,EOG2,14,0.4066133908997433
loso_s1,EOG2,15,0.4276939333256186
loso_s1,EOG2,16,0.31850986543173576
loso_s1,EOG2,17,0.1241305778904253
loso_s1,EOG2,18,0.190819515382295
loso_s1,EOG2,19,0.2227226496338576
loso_s1,EOG2,20,0.1029170461513174
loso_s1,EOG2,21,0.02378236945429896
loso_s1,EOG3,0,0.062883838144711
loso_s1,EOG3,1,-0.055910163702436726
loso_s1,EOG3,2,0.008928589818423519
loso_s1,EOG3,3,0.09894428171585064
loso_s1,EOG3,4,0.26767279719567544
loso_s1,EOG3,5,0.4749174016244433
loso_s1,EOG3,6,-0.028087162437428453
loso_s1,EOG3,7,-0.005282111900077411
loso_s1,EOG3,8,0.07795483240025208
loso_s1,EOG3,9,0.1847141435096063
loso_s1,EOG3,10,0.3939243786044065
loso_s1,EOG3,11,0.6815127613774621
loso_s1,EOG3,12,0.8839297338144119
loso_s1,EOG3,13,0.08928798754712225
loso_s1,EOG3,14,0.17753764517922957
loso_s1,EOG3,15,0.30490422930752215
