fold,stage,inner_fold,n_train_trials,n_train_subjects,train_subjects,target_fitted_transform,channel_mean_abs_mean_uV,channel_std_mean_uV,channel_std_min_uV,channel_std_max_uV
loso_s1,inner,1.0,3456,6,"4,5,6,7,8,9",False,0.007936879611059766,8.056843047726547,6.0982822495350355,9.046971973861256
loso_s1,inner,2.0,3456,6,"2,3,6,7,8,9",False,0.008112447955565453,8.727076562619763,6.7483161512955325,9.632146252553886
loso_s1,inner,3.0,3456,6,"2,3,4,5,8,9",False,0.007517297782276972,8.24487011486299,6.423132906354345,9.3019392586522
loso_s1,inner,4.0,3456,6,"2,3,4,5,6,7",False,0.007566485148012014,7.133505123633626,5.833797301739108,7.498904754297841
loso_s1,full,,4608,8,"2,3,4,5,6,7,8,9",False,0.007783277624228552,8.062121332013954,6.285273380491795,8.869619592458681
loso_s2,inner,1.0,3456,6,"4,5,6,7,8,9",False,0.007936879611059766,8.056843047726547,6.0982822495350355,9.046971973861256
loso_s2,inner,2.0,3456,6,"1,3,6,7,8,9",False,0.008158726869157066,8.470257547858601,6.428955749641793,9.508794401083426
loso_s2,inner,3.0,3456,6,"1,3,4,5,8,9",False,0.007563576695868585,7.972246706663696,6.086734499743067,9.174148663197737
loso_s2,inner,4.0,3456,6,"1,3,4,5,6,7",False,0.007612764061603627,6.818739863584216,5.461217113722561,7.229664754103401
loso_s2,full,,4608,8,"1,3,4,5,6,7,8,9",False,0.007817986809422263,7.854194595315576,6.02896651977816,8.76922739167071
loso_s3,inner,1.0,3456,6,"4,5,6,7,8,9",False,0.007936879611059766,8.056843047726547,6.0982822495350355,9.046971973861256
loso_s3,inner,2.0,3456,6,"1,2,6,7,8,9",False,0.00551353925602551,8.48400041072494,6.543790616616631,9.257920136234496
loso_s3,inner,3.0,3456,6,"1,2,4,5,8,9",False,0.0049183890827370295,7.987455672363967,6.207903473598401,8.913860881416044
loso_s3,inner,4.0,3456,6,"1,2,4,5,6,7",False,0.00496757644847207,6.831009014088338,5.5959462014231995,7.347802210391051
loso_s3,full,,4608,8,"1,2,4,5,6,7,8,9",False,0.005834096099573594,7.864939312268486,6.120925682790205,8.56552881461475
loso_s4,inner,1.0,3456,6,"3,5,6,7,8,9",False,0.008885429733500847,8.361081570337621,6.390955567192513,9.373587753400056
loso_s4,inner,2.0,3456,6,"1,2,6,7,8,9",False,0.00551353925602551,8.48400041072494,6.543790616616631,9.257920136234496
loso_s4,inner,3.0,3456,6,"1,2,3,5,8,9",False,0.00586693920517811,8.29434381748351,6.495639587022256,9.245180621750077
loso_s4,inner,4.0,3456,6,"1,2,3,5,6,7",False,0.005916126570913149,7.189026020243224,5.913534015368352,7.609105408003937
loso_s4,full,,4608,8,"1,2,3,5,6,7,8,9",False,0.006545508691404404,8.09985501572487,6.34091341822242,8.824999720582433
loso_s5,inner,1.0,3456,6,"3,4,6,7,8,9",False,0.00980908544625593,8.421522294618455,6.355688287942318,9.563988335082739
loso_s5,inner,2.0,3456,6,"1,2,6,7,8,9",False,0.00551353925602551,8.48400041072494,6.543790616616631,9.257920136234496
loso_s5,inner,3.0,3456,6,"1,2,3,4,8,9",False,0.0067905949179331935,8.355600830889985,6.460943863555149,9.438172367859302
loso_s5,inner,4.0,3456,6,"1,2,3,4,6,7",False,0.006839782283668234,7.261530253181345,5.875402030414138,7.648111322318293
loso_s5,full,,4608,8,"1,2,3,4,6,7,8,9",False,0.007238250475970718,8.147196708022133,6.314271959633663,8.976910352699585
loso_s6,inner,1.0,3456,6,"3,4,5,7,8,9",False,0.008051826758373702,7.899280805853663,5.932857585091892,9.13600046087864
loso_s6,inner,2.0,3456,6,"1,2,5,7,8,9",False,0.003756280568143283,7.966425953331926,6.1339398456136225,8.815083805102764
loso_s6,inner,3.0,3456,6,"1,2,3,4,8,9",False,0.0067905949179331935,8.355600830889985,6.460943863555149,9.438172367859302
loso_s6,inner,4.0,3456,6,"1,2,3,4,5,7",False,0.005082523595786007,6.649558054430849,5.415198286838643,7.002779204929463
loso_s6,full,,4608,8,"1,2,3,4,5,7,8,9",False,0.005920306460059047,7.74529767272941,5.997753616410701,8.63610953428623
loso_s7,inner,1.0,3456,6,"3,4,5,6,8,9",False,0.01004753824809459,8.380914977132152,6.461977324713972,9.466538433651952
loso_s7,inner,2.0,3456,6,"1,2,5,6,8,9",False,0.005751992057864172,8.443059136341612,6.647072875651508,9.157213478705492
loso_s7,inner,3.0,3456,6,"1,2,3,4,8,9",False,0.0067905949179331935,8.355600830889985,6.460943863555149,9.438172367859302
loso_s7,inner,4.0,3456,6,"1,2,3,4,5,6",False,0.007078235085506895,7.212691660306212,5.99021948948189,7.6176423001909175
loso_s7,full,,4608,8,"1,2,3,4,5,6,8,9",False,0.007417090077349715,8.115347374262624,6.394670842567101,8.899102530132772
loso_s8,inner,1.0,3456,6,"3,4,5,6,7,9",False,0.009543084421771588,7.738410592767911,5.9695817164176415,8.831869961132487
loso_s8,inner,2.0,3456,6,"1,2,5,6,7,9",False,0.005247538231541168,7.806584922036499,6.1694671543239314,8.499478242351929
loso_s8,inner,3.0,3456,6,"1,2,3,4,7,9",False,0.006286141091610189,7.7112684365102835,5.968462719845805,8.80145854375576
loso_s8,inner,4.0,3456,6,"1,2,3,4,5,6",False,0.007078235085506895,7.212691660306212,5.99021948948189,7.6176423001909175
loso_s8,full,,4608,8,"1,2,3,4,5,6,7,9",False,0.007038749707607459,7.622300935521334,6.0250210427849025,8.395472390345697
loso_s9,inner,1.0,3456,6,"3,4,5,6,7,8",False,0.008605467950431746,7.462710177666122,5.8392295889457815,7.957314997118544
loso_s9,inner,2.0,3456,6,"1,2,5,6,7,8",False,0.004347832849478075,7.52702755792933,6.043427670374646,8.113364066864353
loso_s9,inner,3.0,3456,6,"1,2,3,4,7,8",False,0.00534852462027035,7.433262582775575,5.838085488344863,7.869760735115252
loso_s9,inner,4.0,3456,6,"1,2,3,4,5,6",False,0.007078235085506895,7.212691660306212,5.99021948948189,7.6176423001909175
loso_s9,full,,4608,8,"1,2,3,4,5,6,7,8",False,0.006335537354102579,7.410428016579755,5.928439908735206,7.8527633848905785
